example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id,resolved_model,cv_fold,speaker
0,0,Sam only gave Bill BANANAS.,Sam also gave Bill grapes.,C,0,A,,,,"S1 states that Sam gave Bill bananas and only bananas. S2 states that Sam also gave Bill grapes. This contradicts S1, as it implies Sam gave Bill something other than bananas.",,,2,POS,2,f7,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
1,0,Sam only gave MARY apples.,Sam also gave Ellen apples.,C,0,A,,,,"S1 states that Sam gave Mary apples and only apples. S2 states that Sam also gave Ellen apples. This does not contradict S1, as it only states that Sam gave apples to someone else, not that Sam gave Mary something other than apples.",,,1,POS,1,f7,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
2,0,Sam only gave Sue APPLES.,Sam also gave Tom apples.,B,0,A,,,,"S1 states that Sam gave Sue apples and only apples. S2 states that Sam also gave Tom apples. This does not contradict S1, as it only states that Sam gave apples to someone else, not that Sam gave Sue something other than apples.",,,2,POS,1,f7,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
3,0,Sam only gave BILL grapes.,Sam didn't give Bill oranges.,B,0,C,,,,"S1 states that Sam gave Bill grapes and only grapes. S2 states that Sam didn't give Bill oranges. This is entailed by S1, as if Sam only gave Bill grapes, then he certainly didn't give him oranges.",,,1,NEG,2,f7,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
4,0,Sam only gave BILL apples.,Sam didn't give Bill bananas.,B,0,C,,,,"S1 states that Sam gave Bill apples and only apples. S2 states that Sam didn't give Bill bananas. This is entailed by S1, as if Sam only gave Bill apples, then he certainly didn't give him bananas.",,,1,NEG,2,f7,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
5,0,Sam only gave SUE apples.,Sam didn't give Sue bananas.,B,0,C,,,,"S1 states that Sam gave Sue apples and only apples. S2 states that Sam didn't give Sue bananas. This is entailed by S1, as if Sam only gave Sue apples, then he certainly didn't give her bananas.",,,1,NEG,2,f7,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
6,0,Sam only gave ELLEN oranges.,Sam didn't give Tom oranges.,A,0,B,,,,"S1 states that Sam gave Ellen oranges and only oranges. S2 states that Sam didn't give Tom oranges. This is independent of S1, as S1 only specifies what Sam gave to Ellen, not what he gave to Tom.",,,1,NEG,1,f7,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
7,0,Sam only gave TOM apples.,Sam didn't give Mary apples.,A,0,B,,,,"S1 states that Sam gave Tom apples and only apples. S2 states that Sam didn't give Mary apples. This is independent of S1, as S1 only specifies what Sam gave to Tom, not what he gave to Mary.",,,1,NEG,1,f7,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
8,0,Sam only gave Tom APPLES.,Sam also gave Bill apples.,B,0,A,,,,"S1 states that Sam gave Tom apples and only apples. S2 states that Sam also gave Bill apples. This contradicts S1, as it implies Sam gave apples to someone other than Tom, which contradicts the ""only"" in S1.",,,2,POS,1,f7,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
9,0,Sam only gave Sue BANANAS.,Sam didn't give Tom bananas.,B,0,C,,,,"S1 states that Sam gave Sue bananas and only bananas. S2 states that Sam didn't give Tom bananas. This is independent of S1, as S1 only specifies what Sam gave to Sue, not what he gave to Tom.",,,2,NEG,1,f7,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
