example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id,cv_fold,speaker
0,0,Sam only gave Ellen BANANAS.,Sam also gave Rob bananas.,B,,,0,Sam only gave ELLEN bananas.,,,0.0,,2,POS,1,f8,audio,qwen,Qwen/Qwen3-Omni-30B-A3B-Instruct,20260522_144632,,,speaker0
1,0,Sam only gave ROB grapes.,Sam also gave Rob oranges.,B,,,1,Sam only gave ROB grapes.,,,0.0,,1,POS,2,f8,audio,qwen,Qwen/Qwen3-Omni-30B-A3B-Instruct,20260522_144632,,,speaker0
2,0,Sam only gave TOM apples.,Sam also gave Bill apples.,C,,,1,Sam only gave TOM apples.,,,0.0,,1,POS,1,f8,audio,qwen,Qwen/Qwen3-Omni-30B-A3B-Instruct,20260522_144632,,,speaker0
3,0,Sam only gave Mary APPLES.,Sam also gave Mary bananas.,C,,,0,Sam only gave MARY apples.,,,0.0,,2,POS,2,f8,audio,qwen,Qwen/Qwen3-Omni-30B-A3B-Instruct,20260522_144632,,,speaker0
4,0,Sam only gave Ellen ORANGES.,Sam also gave Sue oranges.,B,,,1,Sam only gave Ellen ORANGES.,,,0.0,,2,POS,1,f8,audio,qwen,Qwen/Qwen3-Omni-30B-A3B-Instruct,20260522_144632,,,speaker0
5,0,Sam only gave Rob ORANGES.,Sam didn't give Rob apples.,A,,,0,Sam only gave ROB oranges.,,,0.0,,2,NEG,2,f8,audio,qwen,Qwen/Qwen3-Omni-30B-A3B-Instruct,20260522_144632,,,speaker0
6,0,Sam only gave Bill BANANAS.,Sam didn't give Ellen bananas.,B,,,0,Sam only gave BILL bananas.,,,0.0,,2,NEG,1,f8,audio,qwen,Qwen/Qwen3-Omni-30B-A3B-Instruct,20260522_144632,,,speaker0
7,0,Sam only gave Rob BANANAS.,Sam also gave Sue bananas.,B,,,0,Sam only gave ROB bananas.,,,0.0,,2,POS,1,f8,audio,qwen,Qwen/Qwen3-Omni-30B-A3B-Instruct,20260522_144632,,,speaker0
8,0,Sam only gave Bill BANANAS.,Sam didn't give Mary bananas.,B,,,0,Sam only gave BILL bananas.,,,0.0,,2,NEG,1,f8,audio,qwen,Qwen/Qwen3-Omni-30B-A3B-Instruct,20260522_144632,,,speaker0
9,0,Sam only gave Ellen GRAPES.,Sam didn't give Rob grapes.,B,,,0,Sam only gave ELLEN grapes.,,,0.0,,2,NEG,1,f8,audio,qwen,Qwen/Qwen3-Omni-30B-A3B-Instruct,20260522_144632,,,speaker0
